id;country_code;gender;education;random1;random2;random3
101;DE;Male;Secondary;0,908948858;4;1
102;CO;Female;Post-graduate qualifications;0,207248;1;2
103;CO;Male;Further education;0,866080142;3;2
104;NG;Male;Primary;0,707339327;5;0
105;NG;Male;Degree;0,813280615;2;0
106;CO;Other;Post-graduate qualifications;0,500955522;1;2
107;CO;Male;None;0,761723527;6;2
108;NG;Other;Degree;0,472892483;2;0
109;CO;Male;Secondary;0,667715241;4;2
110;DE;Other;Degree;0,435397951;2;1
111;NG;Female;Degree;0,089334636;2;0
112;NG;Male;Secondary;0,648995656;4;0
113;EG;Male;Primary;0,63961171;5;3
114;EG;Female;None;0,131270231;6;3
115;CO;Female;None;0,379301243;6;2
116;DE;Female;Degree;0,033452418;2;1
117;DE;Other;None;0,53177836;6;1
118;EG;Other;Secondary;0,530304884;4;3
119;EG;Male;Primary;0,919330999;5;3
120;DE;Female;Further education;0,0548443;3;1
121;NG;Other;Primary;0,51162853;5;0
122;CO;Female;Primary;0,171403958;5;2
123;MY;Female;Primary;0,263897165;5;4
124;EG;Male;Post-graduate qualifications;0,777628707;1;3
125;MY;Female;None;0,290289562;6;4
126;CO;Male;Degree;0,715715075;2;2
127;CO;Male;Secondary;0,946314268;4;2
128;CO;Other;Post-graduate qualifications;0,4264899;1;2
129;NG;Male;Degree;0,69497339;2;0
130;EG;Other;Secondary;0,467098337;4;3
131;CO;Female;None;0,11172838;6;2
132;EG;Female;Secondary;0,272905042;4;3
133;CO;Female;Secondary;0,109952415;4;2
134;MY;Other;Post-graduate qualifications;0,5696013;1;4
135;NG;Female;Further education;0,393624534;3;0
136;MY;Female;None;0,316237035;6;4
137;EG;Female;None;0,30800203;6;3
138;DE;Other;Degree;0,459160714;2;1
139;EG;Other;Post-graduate qualifications;0,476794592;1;3
140;DE;Other;Further education;0,575382512;3;1
141;DE;Female;Primary;0,196392942;5;1
142;CO;Male;Degree;0,900315997;2;2
143;CO;Male;Primary;0,726823322;5;2
144;DE;Male;Primary;0,872515969;5;1
145;EG;Male;Degree;0,664791519;2;3
146;DE;Other;Primary;0,563117729;5;1
147;MY;Male;Secondary;0,655405892;4;4
148;MY;Female;Post-graduate qualifications;0,245807206;1;4
149;CO;Male;Post-graduate qualifications;0,829689824;1;2
150;EG;Other;Primary;0,41046465;5;3
151;MY;Male;Primary;0,740556038;5;4
152;MY;Female;None;0,298045811;6;4
153;NG;Male;Post-graduate qualifications;0,802532071;1;0
154;NG;Male;Further education;0,745287812;3;0
155;MY;Other;Further education;0,51703337;3;4
156;CO;Male;Primary;0,943813318;5;2
157;CO;Male;Secondary;0,990946715;4;2
158;EG;Male;Degree;0,823509036;2;3
159;DE;Female;Degree;0,37933543;2;1
160;NG;Female;Post-graduate qualifications;0,327158247;1;0
161;CO;Female;None;0,208360236;6;2
162;EG;Other;Degree;0,512305422;2;3
163;EG;Female;Secondary;0,035473002;4;3
164;CO;Female;None;0,381748836;6;2
165;DE;Other;None;0,578089398;6;1
166;EG;Female;Primary;0,380691643;5;3
167;CO;Female;None;0,16667168;6;2
168;CO;Female;None;0,02700928;6;2
169;DE;Female;Post-graduate qualifications;0,199980333;1;1
170;MY;Other;Secondary;0,556739479;4;4
171;EG;Male;Secondary;0,761323517;4;3
172;CO;Male;None;0,706185619;6;2
173;DE;Other;Further education;0,591390166;3;1
174;DE;Female;Primary;0,375762226;5;1
175;DE;Female;Secondary;0,19976774;4;1
176;CO;Female;Primary;0,057591515;5;2
177;DE;Female;None;0,166681213;6;1
178;EG;Male;None;0,859797848;6;3
179;MY;Female;Secondary;0,205317407;4;4
180;MY;Other;Primary;0,422087295;5;4
181;CO;Other;Primary;0,420682426;5;2
182;DE;Other;Primary;0,544200754;5;1
183;CO;Male;Degree;0,915315889;2;2
184;EG;Female;Degree;0,127499207;2;3
185;DE;Male;Further education;0,958643379;3;1
186;MY;Female;Primary;0,138656161;5;4
187;EG;Other;Degree;0,599382239;2;3
188;DE;Female;None;0,394864591;6;1
189;MY;Male;Degree;0,802355989;2;4
190;CO;Male;None;0,933120211;6;2
191;MY;Female;Secondary;0,043659911;4;4
192;CO;Male;Degree;0,920116677;2;2
193;MY;Female;Post-graduate qualifications;0,327010209;1;4
194;NG;Other;Post-graduate qualifications;0,483800972;1;0
195;DE;Other;None;0,459002578;6;1
196;EG;Female;None;0,049009193;6;3
197;NG;Female;Degree;0,310461124;2;0
198;DE;Female;None;0,161131151;6;1
199;EG;Male;Secondary;0,701473633;4;3
200;CO;Female;None;0,213944551;6;2
201;EG;Male;Secondary;0,929966304;4;3
202;MY;Male;Post-graduate qualifications;0,792267024;1;4
203;CO;Male;Secondary;0,951920835;4;2
204;CO;Female;None;0,124828507;6;2
205;MY;Male;Primary;0,832030481;5;4
206;MY;Female;Degree;0,076203323;2;4
207;DE;Male;Degree;0,638022294;2;1
208;DE;Male;Degree;0,916208844;2;1
209;CO;Female;Further education;0,343799546;3;2
210;DE;Male;Post-graduate qualifications;0,614550506;1;1
211;EG;Female;Further education;0,122606033;3;3
212;NG;Other;Degree;0,495637905;2;0
213;CO;Male;Further education;0,728639093;3;2
214;NG;Male;Post-graduate qualifications;0,776051285;1;0
215;EG;Female;None;0,183344745;6;3
216;MY;Female;Post-graduate qualifications;0,086071778;1;4
217;NG;Male;None;0,931863606;6;0
218;DE;Female;Degree;0,080898797;2;1
219;MY;Other;Primary;0,541483047;5;4
220;CO;Male;None;0,826950335;6;2
221;NG;Female;Secondary;0,348262298;4;0
222;NG;Female;Post-graduate qualifications;0,358286064;1;0
223;CO;Male;Further education;0,701288765;3;2
224;NG;Male;Further education;0,849341322;3;0
225;DE;Female;Primary;0,25138305;5;1
226;EG;Male;Further education;0,94451473;3;3
227;MY;Male;Degree;0,82053012;2;4
228;EG;Female;Secondary;0,211310239;4;3
229;CO;Female;Degree;0,256000411;2;2
230;DE;Other;Post-graduate qualifications;0,583465589;1;1
231;NG;Other;Post-graduate qualifications;0,580974017;1;0
232;MY;Male;Secondary;0,80919477;4;4
233;MY;Other;None;0,585323773;6;4
234;MY;Female;Post-graduate qualifications;0,289915561;1;4
235;NG;Male;Degree;0,656857147;2;0
236;CO;Female;Secondary;0,322901858;4;2
237;MY;Male;Post-graduate qualifications;0,981589796;1;4
238;DE;Female;Further education;0,393132713;3;1
239;EG;Female;Further education;0,18500607;3;3
240;EG;Other;Degree;0,465356252;2;3
241;EG;Other;Primary;0,599579029;5;3
242;NG;Male;Degree;0,999318822;2;0
243;MY;Male;Secondary;0,796547227;4;4
244;DE;Male;Further education;0,722616709;3;1
245;EG;Other;Primary;0,432938586;5;3
246;EG;Female;Post-graduate qualifications;0,33383103;1;3
247;EG;Female;Secondary;0,28782037;4;3
248;DE;Male;Post-graduate qualifications;0,689295917;1;1
249;NG;Male;Primary;0,893315619;5;0
250;NG;Male;Secondary;0,696188986;4;0
251;MY;Male;Further education;0,964219148;3;4
252;EG;Female;Degree;0,219121623;2;3
253;MY;Female;Post-graduate qualifications;0,392513768;1;4
254;DE;Male;Secondary;0,690562156;4;1
255;MY;Other;Further education;0,430985012;3;4
256;MY;Other;Degree;0,428131166;2;4
257;EG;Female;Primary;0,255300512;5;3
258;NG;Other;Degree;0,568940614;2;0
259;EG;Female;Degree;0,065928012;2;3
260;MY;Other;Primary;0,554247732;5;4
261;NG;Male;Secondary;0,945282367;4;0
262;NG;Female;Further education;0,125842463;3;0
263;CO;Male;Post-graduate qualifications;0,749975372;1;2
264;NG;Female;Further education;0,022853941;3;0
265;MY;Female;Degree;0,365989984;2;4
266;NG;Other;Post-graduate qualifications;0,429509764;1;0
267;CO;Other;None;0,553122772;6;2
268;MY;Female;Further education;0,231880854;3;4
269;CO;Male;None;0,674907115;6;2
270;MY;Male;Post-graduate qualifications;0,658156144;1;4
271;CO;Male;Degree;0,674724147;2;2
272;DE;Female;Secondary;0,133435516;4;1
273;NG;Male;Further education;0,874969619;3;0
274;NG;Other;None;0,578142841;6;0
275;EG;Female;Post-graduate qualifications;0,226899503;1;3
276;MY;Male;Degree;0,945586328;2;4
277;NG;Other;Further education;0,571211841;3;0
278;EG;Male;Degree;0,774106217;2;3
279;MY;Male;Degree;0,823155343;2;4
280;DE;Male;Further education;0,911702556;3;1
281;DE;Female;None;0,049484976;6;1
282;EG;Male;Further education;0,643360122;3;3
283;CO;Male;Degree;0,788372355;2;2
284;DE;Other;Secondary;0,521244212;4;1
285;DE;Male;Secondary;0,614115048;4;1
286;EG;Other;Primary;0,403273747;5;3
287;CO;Female;Primary;0,139936018;5;2
288;DE;Other;Secondary;0,57940429;4;1
289;EG;Female;Degree;0,005887527;2;3
290;DE;Male;Degree;0,972531556;2;1
291;DE;Male;Primary;0,667460018;5;1
292;CO;Female;Primary;0,15974939;5;2
293;DE;Female;Degree;0,222037565;2;1
294;CO;Male;Degree;0,987283638;2;2
295;NG;Female;Degree;0,300400076;2;0
296;MY;Female;Degree;0,059908754;2;4
297;EG;Male;Primary;0,821069801;5;3
298;MY;Female;None;0,155303505;6;4
299;DE;Male;Primary;0,737903275;5;1
300;CO;Male;Primary;0,716215075;5;2
301;DE;Female;Degree;0,162731263;2;1
302;NG;Male;Degree;0,985586416;2;0
303;MY;Male;Secondary;0,928295691;4;4
304;DE;Female;Secondary;0,344654758;4;1
305;MY;Male;Further education;0,825964884;3;4
306;DE;Female;Primary;0,186324757;5;1
307;MY;Male;Degree;0,710092725;2;4
308;DE;Female;Degree;0,203619312;2;1
309;DE;Male;Primary;0,896023114;5;1
310;EG;Male;None;0,913691981;6;3
311;NG;Female;Degree;0,269411005;2;0
312;DE;Other;None;0,413039595;6;1
313;MY;Male;Post-graduate qualifications;0,750282688;1;4
314;CO;Male;Primary;0,974404639;5;2
315;DE;Male;None;0,843751514;6;1
316;DE;Other;Primary;0,416331901;5;1
317;CO;Female;None;0,047288182;6;2
318;DE;Other;Secondary;0,512284662;4;1
319;NG;Female;Further education;0,198019322;3;0
320;CO;Female;Degree;0,032224986;2;2
321;EG;Male;Degree;0,76516793;2;3
322;NG;Other;Primary;0,524483008;5;0
323;NG;Female;Degree;0,042267374;2;0
324;MY;Female;Post-graduate qualifications;0,237652826;1;4
325;MY;Female;Degree;0,395160385;2;4
326;NG;Male;Degree;0,901678761;2;0
327;DE;Female;Secondary;0,036778201;4;1
328;CO;Other;Degree;0,56561982;2;2
329;MY;Male;Post-graduate qualifications;0,797899013;1;4
330;EG;Male;Further education;0,76164392;3;3
331;CO;Male;Post-graduate qualifications;0,989582855;1;2
332;CO;Female;Primary;0,040200294;5;2
333;CO;Male;Secondary;0,969632752;4;2
334;MY;Female;None;0,382926836;6;4
335;MY;Female;Post-graduate qualifications;0,317068398;1;4
336;DE;Other;None;0,556908737;6;1
337;DE;Male;Post-graduate qualifications;0,8095896;1;1
338;NG;Female;Degree;0,2358752;2;0
339;EG;Male;None;0,688726821;6;3
340;NG;Female;Secondary;0,049322953;4;0
341;MY;Female;Post-graduate qualifications;0,092751088;1;4
342;DE;Female;None;0,17003761;6;1
343;NG;Other;Secondary;0,545206929;4;0
344;EG;Other;Degree;0,570686129;2;3
345;NG;Male;Post-graduate qualifications;0,759838181;1;0
346;DE;Male;Degree;0,848155202;2;1
347;DE;Male;None;0,829930479;6;1
348;EG;Female;Primary;0,127347874;5;3
349;DE;Male;Secondary;0,967277769;4;1
350;MY;Male;Primary;0,652369173;5;4
