id;date;location_id;person_id;reason_id
1;2024-02-02;33;476;2
2;2024-06-26;12;3520;4
3;2024-12-30;30;1861;4
4;2024-10-26;2;3719;1
5;2024-11-18;12;4817;1
6;2024-05-10;5;284;4
7;2023-12-27;39;4578;3
8;2024-05-08;39;989;4
9;2025-01-07;5;4359;3
10;2023-07-07;25;4116;1
11;2024-10-13;22;2930;3
12;2023-09-14;39;1055;1
13;2024-01-08;35;959;2
14;2024-12-24;22;3016;3
15;2023-10-19;14;2355;2
16;2024-01-01;32;429;1
17;2023-07-07;24;1377;3
18;2024-11-19;33;1885;4
19;2024-02-27;9;4244;1
20;2023-12-21;9;3926;3
21;2024-06-02;31;68;1
22;2023-08-05;36;4639;3
23;2024-05-13;38;1824;3
24;2023-06-24;33;4449;2
25;2023-07-24;33;289;3
26;2023-09-12;1;960;1
27;2023-11-01;38;2826;1
28;2023-10-07;5;4275;1
29;2024-07-18;13;3168;3
30;2024-06-17;12;4157;3
31;2024-07-19;32;3491;2
32;2023-12-17;18;2526;3
33;2023-08-19;19;4080;4
34;2023-12-27;22;4818;3
35;2023-07-11;11;3519;1
36;2024-05-09;26;4901;3
37;2024-07-19;34;2808;2
38;2024-04-14;3;1636;4
39;2025-01-03;38;2180;2
40;2024-12-22;22;3653;4
41;2023-10-12;32;4489;2
42;2024-01-15;27;3604;4
43;2024-11-11;34;2622;4
44;2023-11-30;5;2336;2
45;2024-10-25;16;3835;3
46;2023-06-17;17;1427;1
47;2023-12-03;6;1942;1
48;2024-10-15;23;2848;3
49;2024-12-01;3;405;2
50;2024-12-11;30;4911;2
51;2024-02-07;2;1666;3
52;2024-11-15;7;2647;4
53;2024-05-30;30;1084;4
54;2023-09-12;2;2135;3
55;2024-04-01;20;2986;1
56;2024-10-19;18;1115;4
57;2023-11-03;30;2410;2
58;2024-01-19;3;1684;3
59;2024-07-31;25;1350;1
60;2023-12-08;22;721;2
61;2024-01-26;25;577;4
62;2024-02-07;39;3521;3
63;2023-07-16;37;4787;2
64;2024-08-15;35;4000;2
65;2025-01-05;10;2580;4
66;2023-08-22;23;2996;4
67;2023-06-07;30;505;2
68;2024-09-01;3;1453;2
69;2023-10-25;27;1950;3
70;2024-11-28;21;4340;3
71;2024-09-19;1;2757;4
72;2023-11-12;9;1457;2
73;2024-02-12;33;368;3
74;2024-01-12;24;2693;3
75;2024-03-16;30;902;4
76;2024-04-28;22;2886;2
77;2024-09-11;23;4088;4
78;2024-09-01;33;4477;4
79;2023-07-15;2;4405;3
80;2024-08-13;25;1084;2
81;2023-09-15;8;3986;3
82;2024-08-16;27;1735;2
83;2024-03-21;19;303;4
84;2024-01-27;3;1552;1
85;2024-02-04;3;1514;4
86;2024-12-21;23;2505;4
87;2024-12-28;8;4039;3
88;2025-01-21;34;3518;1
89;2024-04-19;3;4445;2
90;2023-11-20;30;598;4
91;2024-01-10;33;3632;3
92;2024-08-08;36;3538;4
93;2023-07-04;37;3691;2
94;2024-05-28;39;1221;2
95;2024-10-22;9;3342;1
96;2024-01-10;30;1323;2
97;2024-03-11;38;4310;4
98;2024-10-01;22;4073;2
99;2023-12-02;35;1522;4
100;2024-04-09;35;3291;3
101;2024-07-30;31;1351;2
102;2023-08-22;20;2677;2
103;2025-01-18;12;3868;4
104;2023-09-23;25;602;2
105;2023-10-27;23;156;2
106;2023-06-08;35;4657;1
107;2023-08-15;10;1600;2
108;2023-09-01;25;3881;2
109;2024-06-11;12;3676;2
110;2024-02-04;7;2254;3
111;2024-11-16;40;4957;4
112;2024-01-03;24;2357;4
113;2023-10-01;19;4476;2
114;2024-01-20;12;4802;4
115;2024-09-13;23;2688;1
116;2025-01-14;13;2678;1
117;2024-06-28;17;2811;1
118;2023-09-05;12;4166;2
119;2023-10-04;6;4325;4
120;2024-11-09;35;395;1
121;2023-09-29;12;2524;4
122;2023-07-28;18;3052;4
123;2023-08-21;36;4339;1
124;2023-11-01;17;1217;2
125;2024-11-22;3;1491;3
126;2024-04-15;17;491;4
127;2023-06-05;27;236;1
128;2024-01-28;20;177;3
129;2023-09-24;36;2003;2
130;2024-09-06;7;4680;2
131;2023-08-16;6;2981;1
132;2024-11-22;15;4874;2
133;2024-01-16;12;2384;1
134;2024-10-29;19;693;1
135;2023-09-04;25;1082;4
136;2023-11-07;35;4135;1
137;2024-11-17;30;4541;4
138;2023-12-14;5;3284;3
139;2024-03-29;7;2960;3
140;2024-11-21;9;658;4
141;2023-11-13;17;972;1
142;2024-11-06;24;2676;2
143;2024-01-10;23;2031;4
144;2025-01-14;6;1645;3
145;2023-12-25;9;973;4
146;2023-10-04;33;2557;4
147;2024-12-14;12;3808;1
148;2024-07-03;29;182;4
149;2024-07-06;19;1999;4
150;2023-06-11;34;1064;2
151;2024-08-10;6;1425;1
152;2024-03-12;31;3324;1
153;2024-06-12;24;1445;4
154;2024-03-10;39;187;2
155;2024-10-29;32;1111;1
156;2024-06-06;23;3436;2
157;2024-03-27;10;1625;3
158;2024-09-23;1;668;4
159;2023-08-11;38;3778;2
160;2023-09-23;40;3123;3
161;2024-12-08;25;3847;4
162;2024-02-29;11;1147;4
163;2023-06-07;6;3287;4
164;2023-12-25;31;1763;4
165;2024-01-27;2;1047;4
166;2024-09-27;36;1143;3
167;2023-12-08;38;4406;3
168;2024-07-05;9;1023;3
169;2024-04-04;5;3162;4
170;2023-09-24;34;4217;4
171;2024-01-14;23;3209;4
172;2024-11-17;20;1538;3
173;2024-03-21;22;1833;1
174;2024-03-25;12;4714;4
175;2024-04-29;24;227;3
176;2024-02-21;35;389;1
177;2024-05-05;2;3593;1
178;2023-06-13;26;1293;4
179;2023-09-27;10;4213;2
180;2023-06-21;37;2312;1
181;2024-12-09;2;1479;1
182;2023-11-02;6;3136;3
183;2024-02-16;24;601;2
184;2023-06-06;7;297;3
185;2025-01-12;8;3188;1
186;2024-06-02;12;3428;3
187;2024-05-24;39;1068;3
188;2023-12-03;16;100;3
189;2023-06-13;4;3485;4
190;2024-05-16;7;4592;1
191;2024-10-18;39;4872;4
192;2023-06-25;25;4602;3
193;2024-11-28;38;689;3
194;2024-01-28;33;1571;1
195;2023-10-15;3;2594;1
196;2023-12-31;7;1811;1
197;2023-08-12;27;935;3
198;2023-10-08;6;1971;1
199;2023-06-23;24;3868;2
200;2024-10-30;18;3183;4
201;2023-09-17;18;1955;1
202;2023-09-10;17;2742;3
203;2024-10-26;20;2201;3
204;2023-07-17;13;818;4
205;2023-08-12;19;2282;2
206;2024-10-19;4;4688;1
207;2024-01-29;39;4203;4
208;2024-05-18;35;1904;2
209;2024-04-19;33;4760;3
210;2024-02-27;26;4829;4
211;2024-09-10;6;246;2
212;2024-08-05;15;1727;3
213;2024-10-13;31;468;3
214;2023-09-30;33;3475;1
215;2023-11-01;17;1473;3
216;2023-08-27;1;2215;2
217;2023-07-23;13;2114;3
218;2025-01-08;38;2081;2
219;2024-01-19;12;4209;1
220;2024-06-26;34;3249;4
221;2024-07-26;8;1016;3
222;2024-07-16;36;3595;1
223;2024-12-02;18;3749;1
224;2023-07-21;17;1386;1
225;2025-01-24;39;2103;2
226;2024-07-20;13;1969;1
227;2024-07-24;40;4347;4
228;2023-09-09;3;2202;4
229;2024-03-04;28;4450;2
230;2023-07-29;27;2783;3
231;2024-07-14;8;4952;3
232;2024-01-14;27;2005;1
233;2023-12-02;18;3405;3
234;2024-01-22;5;4967;4
235;2024-11-08;29;2200;2
236;2024-04-21;30;1220;4
237;2023-12-17;13;1014;1
238;2023-06-23;40;4805;1
239;2023-09-30;14;3632;1
240;2023-08-04;1;946;3
241;2024-03-25;1;3138;1
242;2024-02-16;17;4843;3
243;2024-08-16;8;3182;3
244;2024-09-07;38;1155;3
245;2023-12-28;37;4576;3
246;2024-01-15;13;2336;2
247;2024-02-16;23;4246;2
248;2023-09-07;37;3827;3
249;2024-07-10;24;183;4
250;2023-11-07;5;3798;2
251;2024-11-08;20;288;2
252;2025-01-02;26;4972;4
253;2023-10-31;10;4533;2
254;2023-07-03;37;1931;4
255;2024-07-24;18;3104;4
256;2024-12-23;34;3257;1
257;2024-05-16;12;1086;3
258;2024-08-11;21;4604;3
259;2024-05-06;16;2017;2
260;2024-10-11;22;4835;2
261;2024-03-26;11;3540;2
262;2023-08-17;23;4357;1
263;2024-05-06;7;2616;4
264;2023-06-28;27;4746;3
265;2023-10-27;24;481;1
266;2024-12-07;16;4268;4
267;2023-12-12;17;3812;2
268;2023-10-27;37;487;4
269;2024-10-29;7;3729;4
270;2023-10-28;37;1892;3
271;2024-12-26;8;3694;1
272;2024-04-13;22;2666;1
273;2024-05-04;9;3916;1
274;2025-01-19;24;4158;4
275;2024-04-02;13;3734;2
276;2024-10-07;21;2354;1
277;2023-06-26;12;2468;3
278;2023-09-12;28;1836;1
279;2024-04-10;14;3951;3
280;2023-08-04;3;4716;4
281;2024-08-13;33;2198;4
282;2023-12-07;3;1002;3
283;2023-06-05;30;3495;2
284;2023-10-01;2;1144;2
285;2024-12-12;5;3468;3
286;2024-08-26;23;4457;2
287;2023-11-24;13;533;1
288;2024-02-29;7;4274;2
289;2024-08-29;20;1088;4
290;2024-09-26;33;960;1
291;2024-11-21;15;718;1
292;2023-08-19;18;2432;4
293;2023-07-27;16;977;4
294;2023-10-02;11;174;4
295;2023-07-15;35;4772;4
296;2024-11-28;5;4081;2
297;2024-03-25;9;2265;2
298;2024-10-29;29;1096;2
299;2023-11-27;3;4244;2
300;2024-01-22;28;3816;3
301;2023-09-17;40;3817;3
302;2023-08-09;33;313;4
303;2023-10-06;14;240;3
304;2023-09-03;21;37;2
305;2024-02-16;37;3266;4
306;2024-09-16;26;3221;2
307;2024-03-26;22;197;3
308;2024-07-24;14;3451;2
309;2023-06-10;9;1993;2
310;2023-09-29;2;160;4
311;2024-08-10;25;673;4
312;2024-04-13;36;3771;1
313;2024-09-08;34;2355;2
314;2023-09-12;4;125;4
315;2024-05-26;30;4312;2
316;2024-02-13;14;1854;2
317;2023-07-27;3;2091;4
318;2023-12-26;4;2136;4
319;2024-12-23;4;3358;2
320;2024-02-08;23;1649;1
321;2024-11-25;25;800;2
322;2023-10-24;10;4742;2
323;2024-12-03;25;1164;4
324;2023-09-10;24;31;3
325;2024-12-17;17;1770;2
326;2024-08-21;9;538;4
327;2023-07-26;32;1585;2
328;2024-03-11;39;3020;1
329;2024-08-24;4;2649;2
330;2024-09-14;26;196;3
331;2023-12-23;15;2563;2
332;2024-09-30;28;3573;3
333;2023-10-08;26;4724;3
334;2023-11-06;12;127;2
335;2024-10-24;8;2803;2
336;2024-03-15;9;2306;2
337;2024-01-11;22;281;1
338;2024-06-02;14;3818;4
339;2024-09-10;29;2333;3
340;2023-11-30;3;4234;2
341;2024-06-30;31;674;2
342;2024-02-08;39;698;1
343;2024-07-10;10;1529;2
344;2024-10-17;17;1765;1
345;2024-12-23;25;3706;3
346;2024-12-19;15;2452;2
347;2024-07-13;7;1049;4
348;2024-07-22;34;681;1
349;2024-08-07;14;1788;3
350;2024-02-09;34;2380;3
351;2023-08-10;31;44;2
352;2025-01-19;5;2645;4
353;2024-05-24;5;4585;1
354;2024-02-23;12;1197;3
355;2023-12-26;33;4425;2
356;2024-12-08;25;1529;2
357;2024-01-14;11;3514;2
358;2024-02-16;3;2100;2
359;2023-08-30;25;2017;1
360;2023-11-27;33;2372;2
